DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband
S01008878,-0.05471471095465454,0.14097070733053155,-0.3343085371877652,-0.5988774438552571,-0.327353429835175,-0.021517974182041093,0.43305647686646853,0.3860371469450985,-0.5113859556407067,-0.10268701708718465,-1.0836723375094042,0.08470430353720315,-0.5396161232313518,0.24575721482871207,-0.4152716264849258,-0.06717654210237652,0.3018360646420076,-1.0450354113448115,-0.7925735028525875,0.3237343367209578,-0.10350140137341673,0.6124765591741869,-0.5703841813092343,-0.3729753158000586,-0.1509226913589293,-0.3439653546026167
S01008879,-0.5374033938970866,-0.6696108598200246,-0.29414297839671116,-0.8580109761124478,0.1256887094496087,-0.8680214472076803,-1.0568283004381662,-0.6911304314660612,-0.25179644794290185,-0.7318349568729381,0.050485276828715536,-1.1415011306574967,0.4368758599866808,-0.48147018073213904,0.38543174913271555,-0.4297046966883855,0.21534540373711572,-1.2603207820351408,-0.9067631448307514,0.3576965081988072,0.2701391603094217,0.7981655832135309,-0.7905947104596407,-0.2779316062603369,0.07697425331292912,-0.3439653546026167
S01008880,-0.7787477353683026,-0.6696108598200246,0.775721451219547,-1.1171445083696385,-0.7803955691199587,-0.773965505760387,-0.08163099165695076,-0.39093618830229543,0.3672246857980172,-0.7318349568729381,-1.0836723375094042,-0.9095163187828238,-0.09575613085951863,-1.189560013251915,0.11853062392683511,1.8663069490230049,0.6085471414760231,-1.518248511087029,-0.38658775794895,0.7000681573616648,0.20665665542833894,0.7126579456479253,-1.539199133008372,-0.20225337858831274,-0.5585353592417153,-0.3439653546026167
S01008881,-1.1407642475751265,-0.993843486680247,-0.8345523148581658,-0.9875777422410432,0.1256887094496087,-1.0561333301022668,-0.7046737167116162,-0.8412275530479442,0.2274457201145839,-1.3609828966586914,-1.0836723375094042,-1.3072045677108346,2.354351027033,-1.4192107697448155,-0.9490738768966868,1.3829360762416596,0.608447774996552,-0.8420243516025063,0.5812780327177949,1.694623368771082,-0.46046456108779765,0.019582613500277124,-0.8322507323284403,-0.16675901416997577,-0.9124815218243598,-0.3439653546026167
S01008884,-1.1407642475751265,-0.993843486680247,-0.3343085371877652,-1.5058448067554246,-0.327353429835175,-1.2442452129968533,-1.0432838933717605,-0.6116672494521233,-0.4115438372953971,-1.151266916730107,-1.0836723375094042,-0.8432349439614887,0.7919638538841477,-1.4000732067037405,-0.9490738768966868,2.1079923854136777,-1.0794551847401568,0.31550223362211477,-0.4533309861928302,1.180944605179651,-0.13045048350176197,-0.5189409642835453,0.310286649365849,0.3017363280002342,-0.013655916773274417,-0.3439653546026167
S01008885,-1.1407642475751265,-0.993843486680247,-0.34526278049441633,-1.246711274498234,-0.7803955691199587,-1.2442452129968533,-0.8401177873756739,-0.6823011890200681,-0.870817581683821,-1.570698876587276,0.27731679969633943,-1.2409231928894995,-0.9834761156031849,-1.4574858958269656,-0.9490738768966868,4.887374903906413,-1.1409343152231262,0.3628022671325198,-0.2162473500571732,0.03950371975438557,-0.32695209862338415,-0.7490901610758807,-0.11467185396043801,-0.05382766556182569,0.18003708133385687,-0.3439653546026167
S01008886,-1.1407642475751265,-1.1559598001103584,-0.5826047188051904,-0.46931067772666174,-0.327353429835175,-1.3383011544441465,-0.7994845661764566,-0.8412275530479442,-0.3516385662882114,-1.151266916730107,-0.4031777689065323,-1.0752197558361616,1.2713326456457268,-1.3043853914983654,-0.4152716264849258,1.0204079216556505,-0.8100517522712622,0.7811897952298753,0.5006927158883578,-0.6565768607213825,-0.044277243253148274,-0.6736466092017612,0.7424017871078301,0.7056924329056948,0.5727217595073886,-0.3439653546026167
S01008887,-1.0200920768395185,-0.993843486680247,-0.44019955581872594,-1.1171445083696385,0.1256887094496087,-1.0561333301022668,-0.3254303188522546,-0.6646427041280819,-0.25179644794290185,-1.3609828966586914,-1.0836723375094042,-0.2798432579801401,1.0227710499175007,-1.3617980806215904,-0.4152716264849258,2.34967782180435,-1.1385488774441643,0.8500283946475958,0.1366764267208552,-0.5007085858843355,0.04570536273525957,-0.6991522636614471,0.4726419053012849,0.1953468587440485,-0.01690302664704145,-0.1374578763265895
S01008889,-1.0200920768395185,-0.993843486680247,-0.14443498653914602,-0.08061037934087564,-0.327353429835175,-1.15018927154956,-0.7588513449772393,-0.8412275530479442,-0.7310386160003876,-1.3609828966586914,-0.6300092917741562,-1.1083604432468293,1.1825606471713603,-0.8833590045947146,-0.9490738768966868,1.7454642308276684,-1.3789284595565041,0.12450194838009272,0.18157549004262852,0.8009151221873866,-0.16107751243035612,-0.051661622043317,-0.32042741300523864,-0.292294072775876,-0.23541015395718837,-0.3439653546026167
S01008890,-0.7787477353683026,-0.5074945463899133,0.08195270846497686,-0.9875777422410432,-0.327353429835175,-0.5858536228658006,-1.1787279640358181,-0.8412275530479442,1.685140647956103,-0.9415509368015226,2.0919689826373307,-0.4124060076228103,1.2358238462559807,-0.9981843828411648,-0.4152716264849258,1.0204079216556505,-0.9769392469890172,1.016884911972644,0.5568650282622101,-0.08685352109375266,0.28759975013382155,-0.5542719176499455,0.7683592236015307,0.7913365947709285,0.4850024832752756,-0.3439653546026167
