DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,Health_PC1,Health_PC2,Education_PC1,Education_PC2,Education_PC3,Access_PC1,Access_PC2
S01008236,-0.05471471095465454,0.14097070733053155,-0.4913193579164311,-0.46931067772666174,-0.7803955691199587,-0.5092136496236539,0.31640533323754044,-0.3576826994883616,-0.3399776675074977,-0.6195278995450917,0.49996477604702977,-2.382836228937536
S01008237,0.5486461427233855,0.465203334190754,-0.48036511460978,0.30808991904491045,-0.327353429835175,-0.07476426856923059,-1.0461789542269129,0.4483314582372874,0.8326974015410787,0.15227750012668015,-3.8965365699459333,-1.9762466930494882
S01008238,0.5486461427233855,0.6273196476208652,-0.6300731064673452,-0.3397439115980664,-0.7803955691199587,-0.9124238785603888,0.34786904180388445,-0.08919952307404454,0.7716820410560868,0.16695863433291627,-0.5970782775937347,-1.6745468188546566
S01008239,0.4279739719877775,0.30308702076064276,-0.549741988885237,-0.9875777422410432,-0.327353429835175,0.22382112225485995,-0.057511268565376215,-1.0403693943810508,0.15824845121794465,-0.13881157050288404,-1.7593645193957548,-1.4627694879697095
S01008240,-1.0200920768395185,-0.993843486680247,-0.8820207025203206,-1.1171445083696385,0.1256887094496087,1.7185600229125826,-2.1278195262824307,1.62560913426385,0.1513116862046713,-0.4633413297834096,-2.3513773546544465,-0.11716044588891841
S01008241,-1.0200920768395185,-0.993843486680247,-0.816295242680414,-1.246711274498234,-0.7803955691199587,2.402385387378717,-0.6402850832592271,1.0893274455957798,0.5180963467556782,0.2159922708505358,-0.7744891969175217,-0.4550760120463643
S01008242,-0.41673122316147854,-0.021145606099579675,-0.5241820878363844,-0.9875777422410432,-0.327353429835175,-0.22012722756076805,0.28459412417594687,1.110685430598948,-0.19139148967283132,0.21617636520033012,-0.887092431901424,-0.4409109112612361
S01008243,-0.7787477353683026,-0.8317271732501358,-0.9404433334891265,-0.5988774438552571,-0.327353429835175,2.0294626796910915,0.7675681770989358,1.6114808987997613,-0.4008622594830617,0.914269638113989,-5.027984866083507,-1.845283508208074
S01008244,-0.6580755646326946,-0.6696108598200246,-0.746918368404957,-1.1171445083696385,-0.327353429835175,1.5939611163173861,0.9644917056413109,1.5191275750632298,0.22695100909190832,0.30043639223472834,-3.2083805030801873,-2.8419932762228326
S01008245,-0.6580755646326946,-0.6696108598200246,-0.6410273497739962,-0.8580109761124478,-0.327353429835175,1.404343158101315,0.9707960109679251,1.2849713340975963,-0.034918348886443754,-0.34961005153375946,-3.199521319799669,-2.328015928406919
S01008246,-0.6580755646326946,-0.8317271732501358,-0.9148834324402739,-0.9875777422410432,-0.7803955691199587,1.1752017616545964,1.1631213763728483,1.7769953255281823,0.14012395761425533,0.16408704294576898,-4.887902045805874,-1.433129748008336
S01008248,-0.29605905242587055,-0.34537823295980213,-0.6592844219517481,-0.08061037934087564,-0.327353429835175,1.5489786390571068,-0.01884226392381742,1.116367176525066,0.0029159631886256283,0.578764290282855,-9.658213242563667,-4.415779904433017
S01008249,-0.41673122316147854,-0.1832619195296909,-0.4876679434808807,-0.8580109761124478,-0.327353429835175,2.1955189048064887,0.7295695326691881,1.6210932239728815,-0.5515173210451803,0.5064410522531977,-10.74601239832901,-2.601393070057561
S01008250,-0.6580755646326946,-0.8317271732501358,-0.9148834324402739,-0.9875777422410432,0.1256887094496087,1.556435366742542,0.41312488763550387,1.4047837596167094,-0.2950527268666316,0.15821219367769734,-6.584299500470491,1.3228350390838037
S01008251,-1.1407642475751265,-1.1559598001103584,-0.9294890901824754,-0.9875777422410432,-0.327353429835175,2.1312880498462814,-1.0428270004368656,2.2973065954839567,0.06641974299626129,-0.34766578934497955,-1.8156869163992213,0.7252419768824003
S01008252,-1.0200920768395185,-0.6696108598200246,-0.8345523148581658,-1.246711274498234,-0.7803955691199587,1.2161591051796392,-2.604437275809818,1.7097064921636083,0.3127999053257269,-0.16724960422731575,0.49812888326699944,0.3967319772697941
S01008253,-0.29605905242587055,0.14097070733053155,-0.49862218678753184,0.04895638678771973,-0.327353429835175,-0.2963334061546148,0.4808585816645726,0.2662588894097801,0.5018358792209967,-0.3895071480674216,0.6054434444181596,0.3585244333262038
S01008254,0.3073018012521695,0.6273196476208652,-0.5059250156586326,-0.210177145469471,-0.7803955691199587,-0.3864793248905312,0.14366556525733945,0.3078637152977119,0.3445128056523552,-0.07661073958416129,1.4217010067916098,0.7614361743960412
S01008255,0.06595745978095346,0.14097070733053155,-0.856460801471468,-0.3397439115980664,0.1256887094496087,0.32230508559633614,0.9243049542979032,-0.9602276411070149,-0.46663070038293186,-0.261682601081805,0.8892305839850748,0.828890226914878
S01008256,1.1520069964014255,1.113668587911199,-0.09696659887699123,0.5672234513021012,-0.327353429835175,-1.4842909184428685,-0.8789074206103009,-0.8248224449307245,-0.30220607841406144,-0.12448770300661298,0.6566650366377658,0.9198618006837491
