DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,Health_PC1,Health_PC2,Education_PC1,Education_PC2,Education_PC3,Access_PC1,Access_PC2,Access_PC3,Access_PC4
S01010116,-0.9625244547627901,-0.7512597545758547,-0.7696007703335493,-0.5499300060288889,-0.013141520268103422,-1.3503039280239564,0.4973468167186213,-0.4381959482344514,0.4034339543837848,0.5265078693357943,0.82790325014567,0.5049552908200367,-0.054844454979137945,0.8093714244105558
S01010117,-1.3757473887098057,-1.3023524919122742,-0.038019663254381636,-1.012329624508027,-0.013141520268103422,-2.5037245229690455,-0.5745215479248709,-1.5322440861637872,0.3278643150387346,-0.05026201796847631,2.4660676681405045,-0.8522487672239534,-1.1669251079891556,1.0246813091638232
S01010118,1.5994577357087072,1.3428926473025395,0.4865636887209906,1.2996684678876638,1.1301707430568992,2.488986549829686,0.650698473407611,3.054126152336445,-0.07215603976189737,0.6420747054099604,2.2077939592783933,1.0414446329382274,0.5724584090902756,-0.5592778395577189
S01010119,0.5250781074464664,0.5713628150315522,-0.5257404013071602,-0.0875303875497507,-0.7753496958181052,2.223138355024707,1.6912287489235907,1.4949214690725396,0.4830673959003477,0.4274126145325333,4.54531489855908,-0.9136991120674296,-0.9369932244219948,-0.015614507478136402
S01010120,1.5994577357087072,1.012237004900688,-0.009663806390848005,0.490469135549172,-0.3942456080431043,1.7751084840640396,1.224661543341794,2.9249634222262704,-0.4521074797647048,0.5581834235040889,2.418089220278691,-0.05243294154100353,0.46321216076484917,-0.26609303130497697
S01010121,1.6821023224981104,1.4531111947698234,-0.3357561603214848,0.8372688494085256,-1.1564537835931061,2.4381573408205357,1.1197071183075735,1.967388998955711,0.5490578637859671,0.007312176926064844,1.7476205358829733,-0.40946425048714247,-0.48905289154485,-0.020007769856254336
S01010122,2.095325256445126,2.4450781219753788,3.0272484636936037,0.490469135549172,-0.013141520268103422,3.8583451829674393,1.861728652864626,2.249643008558459,1.1330329383412112,0.6856761880739056,-1.185482510623159,-0.6121948493252615,-0.9020030810543057,0.43779314078186476
S01010123,1.2688793885510947,0.79179990996612,-0.6363282430749413,0.02806951707003384,-0.3942456080431043,0.6047271810893158,0.887512461303739,1.0273080651675344,0.3217580285435707,0.18257446298700455,3.8133596164572006,1.9519939808329485,0.11820516862493682,-0.7116981339063195
S01010124,-0.46665693402637126,-0.5308226596412868,-0.9198868117102776,-0.3187301967893198,-0.3942456080431043,-1.013536380072321,-0.6601917132681349,0.10568377357232855,0.6938598300932013,-0.5783555044844526,2.5830206602834522,1.7131003286397042,0.4087152996777784,-0.4158129678525274
S01010125,-0.05343400007935559,-0.3103855647067191,-0.16278543345392962,0.1436694216898184,-0.3942456080431043,-0.6898779309656431,0.384166221446549,0.46545586881163165,1.1220834914651712,-0.16078715198724441,0.753041502237255,2.454134924118344,0.29486650344112886,-0.2080839789724512
S01010126,0.02921058671004755,-0.08994846977215126,-0.5682741866024605,-1.012329624508027,-1.1564537835931061,0.8383699160020336,0.3041187223599146,-0.23288982408441233,-0.1604511323860126,0.6601168711624397,0.8531377766578345,1.2662290051490441,0.15883884698409007,0.11998102661207834
S01010127,0.7730118678146758,1.2326740998352557,-0.797956627197083,0.02806951707003384,-0.7753496958181052,1.0810561214481096,1.536598564790779,0.7467587342627584,-0.3784907833336664,-1.2463252163461909,0.9299680609988618,1.950154289551621,0.20258846902417502,0.2523161434380632
